"X2","code","騰落率","リスク（標準偏差）","シャープレシオ"
"6ヶ月","JP90C00009X9",-0.86,5.37,-0.3
"1年","JP90C00009X9",0.66,3.91,0.19
"3年","JP90C00009X9",12.34,4.64,0.87
"5年","JP90C00009X9",16.12,4.49,0.7
"10年","JP90C00009X9",69.52,4.79,1.13
"6ヶ月","JP90C00009Y7",-0.34,8.11,-0.05
"1年","JP90C00009Y7",1.92,6.02,0.35
"3年","JP90C00009Y7",21.86,7.47,0.92
"5年","JP90C00009Y7",26.25,7.36,0.68
"10年","JP90C00009Y7",115.98,7.84,1.02
"6ヶ月","JP90C00009Z4",0.26,10.89,0.09
"1年","JP90C00009Z4",3.22,8.2,0.43
"3年","JP90C00009Z4",31.53,10.49,0.93
"5年","JP90C00009Z4",36.37,10.37,0.66
"10年","JP90C00009Z4",172.41,10.97,0.97
"6ヶ月","JP90C0000HT6",0.9,11.83,0.2
"1年","JP90C0000HT6",1.89,10.89,0.22
"3年","JP90C0000HT6",34.57,14.92,0.74
"5年","JP90C0000HT6",34,14.68,0.48
"10年","JP90C0000HT6",213.75,15.7,0.81
"6ヶ月","JP90C0001QL2",0.35,12.04,0.11
"1年","JP90C0001QL2",1.29,10.98,0.17
"3年","JP90C0001QL2",33.68,14.98,0.72
"5年","JP90C0001QL2",33.45,14.72,0.47
"10年","JP90C0001QL2",215.16,15.73,0.81
"6ヶ月","JP90C0001QU3",2.06,12.4,0.38
"1年","JP90C0001QU3",3.08,11.21,0.32
"3年","JP90C0001QU3",32.76,15.14,0.7
"5年","JP90C0001QU3",25.34,14.85,0.38
"10年","JP90C0001QU3",185.49,15.98,0.74
"6ヶ月","JP90C0001QY5",-0.65,5.9,-0.19
"1年","JP90C0001QY5",0.96,4.3,0.25
"3年","JP90C0001QY5",14.49,4.71,0.99
"5年","JP90C0001QY5",18.12,4.67,0.75
"10年","JP90C0001QY5",76.63,5.39,1.11
"6ヶ月","JP90C0001QZ2",-0.09,8.88,0.02
"1年","JP90C0001QZ2",2.67,6.48,0.44
"3年","JP90C0001QZ2",24.74,7.7,1
"5年","JP90C0001QZ2",29.59,7.6,0.73
"10年","JP90C0001QZ2",124.04,8.23,1.05
"6ヶ月","JP90C0001R05",0.42,11.84,0.12
"1年","JP90C0001R05",4.33,8.67,0.53
"3年","JP90C0001R05",35.08,10.78,0.99
"5年","JP90C0001R05",41.11,10.59,0.71
"10年","JP90C0001R05",180.19,11.14,1.01
"6ヶ月","JP90C0001R39",-1.01,15.74,-0.06
"1年","JP90C0001R39",-4,14.27,-0.22
"3年","JP90C0001R39",38.94,17.15,0.73
