"購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）","code"
"0.00%","外枠なし","0.22000%","JP90C00009X9"
"0.00%","外枠なし","0.23000%","JP90C00009Y7"
"0.00%","外枠なし","0.24000%","JP90C00009Z4"
"0.00%","外枠なし","0.14000%","JP90C0000HT6"
"0.00%","外枠0.5％未満","0.50000%","JP90C0001QL2"
"0.00%","外枠なし","0.80000%","JP90C0001QU3"
"0.00%","外枠なし","0.14000%","JP90C0001QY5"
"0.00%","外枠なし","0.14000%","JP90C0001QZ2"
"0.00%","外枠なし","0.14000%","JP90C0001R05"
"0.00%","外枠なし","0.25000%","JP90C0001R39"
"2.00%以内","外枠なし","1.47000%","JP90C0001UU5"
"2.00%以内","外枠なし","1.35000%","JP90C0001UV3"
"2.00%以内","外枠なし","1.20000%","JP90C0001UW1"
"2.00%以内","外枠なし","0.82000%","JP90C00021F1"
"2.00%以内","外枠なし","0.50000%","JP90C0002AA7"
"0.00%","外枠なし","0.95000%","JP90C0002MF1"
"3.00%以内","外枠なし","1.50000%","JP90C00035D6"
"3.00%以内","外枠なし","1.49000%","JP90C00035E4"
"0.00%","外枠なし","0.18000%","JP90C0003RR3"
"0.00%","外枠なし","0.20000%","JP90C0003RS1"
"0.00%","外枠なし","0.22000%","JP90C0003RT9"
"0.00%","外枠0.5％未満","0.45000%","JP90C0004GZ7"
"0.00%","外枠0.5％未満","0.52000%","JP90C0004H04"
"2.00%以内","外枠0.5％未満","0.37000%","JP90C00055W4"
"2.00%以内","外枠0.5％未満","0.50000%","JP90C00055X2"
"0.00%","外枠なし","0.42000%","JP90C0005FR3"
"0.00%","外枠なし","0.42000%","JP90C0005FS1"
"3.00%以内","外枠0.5％未満","0.60000%","JP90C0005Z76"
"3.00%以内","外枠0.5％未満","0.50000%","JP90C0006026"
"-","外枠なし","0.98000%","JP90C0006083"
"0.00%","外枠0.5％未満","0.50000%","JP90C0006K23"
"0.00%","外枠なし","0.40000%","JP90C0006LC1"
"0.00%","外枠なし","0.40000%","JP90C0006LD9"
"0.00%","外枠なし","0.60000%","JP90C0006LG2"
"0.00%","外枠0.5％未満","0.60000%","JP90C0006LK4"
"1.00%以内","外枠0.5％未満","1.38000%","JP90C0006Y84"
"0.00%","外枠なし","0.20000%","JP90C0006ZN8"
"0.00%","外枠0.5％未満","0.60000%","JP90C00074C7"
"2.00%以内","外枠なし","0.37000%","JP90C00074E3"
"1.00%以内","外枠なし","0.40000%","JP90C0007DM5"
"1.00%以内","外枠なし","0.40000%","JP90C0007DN3"
"1.00%以内","外枠なし","0.55000%","JP90C0007DP8"
"1.00%以内","外枠0.5％未満","0.60000%","JP90C0007DQ6"
"0.00%","外枠なし","0.25000%","JP90C0007LN6"
"0.00%","外枠なし","0.34000%","JP90C0007LP1"
"0.00%","外枠0.5％未満","0.50000%","JP90C0008022"
"0.00%","外枠なし","0.16000%","JP90C00081U4"
"3.00%以内","外枠なし","0.98000%","JP90C0008CH5"
"0.00%","外枠なし","0.23000%","JP90C00091E7"
"1.00%以内","外枠なし","0.55000%","JP90C00095F5"
"0.00%","外枠なし","0.60000%","JP90C0009ER8"
"2.00%以内","外枠0.5％未満","0.60000%","JP90C0009L03"
"2.00%以内","外枠0.5％未満","0.50000%","JP90C0009L37"
"0.00%","外枠なし","0.09300%","JP90C0009VE0"
"2.00%以内","外枠なし","0.37000%","JP90C000A0B8"
"1.00%以内","外枠なし","0.40000%","JP90C000A808"
"0.00%","外枠なし","0.40000%","JP90C000A9Q7"
"1.00%以内","外枠なし","0.79000%","JP90C000ADD2"
"1.00%以内","外枠なし","0.26600%","JP90C000AYS6"
"0.00%","外枠なし","0.19500%","JP90C000B9U8"
"0.00%","外枠なし","0.14000%","JP90C000BRT6"
"0.00%","外枠なし","0.14000%","JP90C000C7B1"
"1.20%以内","外枠なし","1.13000%","JP90C000C838"
"0.00%","外枠なし","0.50000%","JP90C000C8G8"
"0.00%","外枠なし","0.48500%","JP90C000CG01"
"1.00%以内","外枠なし","0.26600%","JP90C000CJS3"
"0.00%","外枠なし","0.17000%","JP90C000CMF4"
"0.00%","外枠なし","0.20000%","JP90C000CMK4"
"0.00%","外枠0.5％未満","0.34000%","JP90C000CZ57"
"0.00%","外枠なし","0.50000%","JP90C000D1X7"
"0.00%","外枠0.5％未満","0.50000%","JP90C000D1Y5"
"0.00%","外枠0.5％未満","0.50000%","JP90C000D1Z2"
"0.00%","外枠0.5％未満","0.50000%","JP90C000D208"
"0.00%","外枠0.5％未満","0.50000%","JP90C000D216"
"0.00%","外枠なし","0.98000%","JP90C000D3K0"
"0.00%","外枠なし","0.22500%","JP90C000DPW0"
"0.00%","外枠なし","0.14000%","JP90C000DVK3"
"0.00%","外枠なし","0.14000%","JP90C000DVL1"
"0.00%","外枠なし","0.19500%","JP90C000DVM9"
"0.00%","外枠なし","0.19000%","JP90C000DVN7"
"0.00%","外枠なし","0.22500%","JP90C000DVP2"
"0.00%","外枠なし","0.34000%","JP90C000DVR8"
"0.00%","外枠なし","0.22000%","JP90C000DVX6"
"0.00%","外枠なし","0.20000%","JP90C000DXE2"
"0.00%","外枠なし","0.14000%","JP90C000E6Z0"
"0.00%","外枠なし","0.14000%","JP90C000ENA9"
"0.00%","外枠なし","0.09300%","JP90C000ENC5"
"0.00%","外枠なし","0.17000%","JP90C000ERE2"
"0.00%","外枠なし","0.14000%","JP90C000EWV6"
"0.00%","外枠なし","0.14000%","JP90C000F3F8"
"0.00%","外枠なし","0.22000%","JP90C000F7A0"
"0.00%","外枠なし","0.17000%","JP90C000F7H5"
"1.80%以内","外枠0.5％未満","0.50000%","JP90C000F8D2"
"0.00%","外枠なし","0.18000%","JP90C000F8E0"
"0.00%","外枠なし","0.20000%","JP90C000F8F7"
"0.00%","外枠なし","0.34000%","JP90C000F8G5"
"0.00%","外枠なし","0.22000%","JP90C000F8H3"
"1.80%以内","外枠0.5％未満","0.55000%","JP90C000F8K7"
"1.80%以内","外枠0.5％未満","0.45000%","JP90C000F8L5"
"0.00%","外枠なし","0.18000%","JP90C000F8M3"
"0.00%","外枠なし","0.20000%","JP90C000F8N1"
"0.00%","外枠なし","0.22000%","JP90C000F8P6"
"1.80%以内","外枠0.5％未満","0.50000%","JP90C000F8Q4"
"0.00%","外枠なし","0.14000%","JP90C000F9E8"
"0.00%","外枠なし","0.20000%","JP90C000F9G3"
"0.00%","外枠なし","0.34000%","JP90C000F9K5"
"0.00%","外枠なし","0.17000%","JP90C000F9M1"
"0.00%","外枠0.5％未満","0.48000%","JP90C000FBV7"
"0.00%","外枠なし","0.22500%","JP90C000FCD3"
"0.00%","外枠なし","0.19000%","JP90C000FCE1"
"3.00%以内","外枠なし","0.36430%","JP90C000FD92"
"0.00%","外枠なし","0.21000%","JP90C000FDM2"
"0.00%","外枠なし","0.19000%","JP90C000FED9"
"0.00%","外枠なし","0.22000%","JP90C000FFC8"
"0.22%","外枠0.5％未満","0.45000%","JP90C000FFX4"
"0.00%","外枠なし","0.38000%","JP90C000FH72"
"0.00%","外枠なし","0.12000%","JP90C000FHC4"
"0.00%","外枠なし","0.12000%","JP90C000FHD2"
"0.00%","外枠なし","0.50000%","JP90C000FHE0"
"0.00%","外枠なし","0.50000%","JP90C000FHF7"
"0.00%","外枠なし","0.50000%","JP90C000FHG5"
"0.00%","外枠なし","0.19000%","JP90C000FHZ5"
"0.00%","外枠なし","0.17000%","JP90C000FJ05"
"0.00%","外枠なし","0.19500%","JP90C000FJY4"
"0.00%","外枠なし","0.18900%","JP90C000FK36"
"0.00%","外枠なし","0.15900%","JP90C000FK44"
"0.00%","外枠なし","0.19000%","JP90C000FLK9"
"0.00%","外枠なし","0.17000%","JP90C000FLL7"
"0.00%","外枠なし","0.22000%","JP90C000FN25"
"0.00%","外枠なし","0.22000%","JP90C000FN33"
"0.00%","外枠なし","0.22000%","JP90C000FN41"
"0.00%","外枠なし","0.32400%","JP90C000FNK5"
"0.00%","外枠なし","0.32400%","JP90C000FNL3"
"0.00%","外枠なし","0.32400%","JP90C000FNM1"
"0.00%","外枠なし","0.28200%","JP90C000FNN9"
"0.00%","外枠なし","0.06000%","JP90C000FQQ5"
"0.00%","外枠なし","0.06200%","JP90C000FQR3"
"0.00%","外枠0.5％未満","0.23500%","JP90C000FS95"
"0.00%","外枠0.5％未満","0.33000%","JP90C000FSN8"
"0.00%","外枠なし","0.17000%","JP90C000FSP3"
"0.00%","外枠なし","0.06200%","JP90C000FVY9"
"0.00%","外枠なし","0.50000%","JP90C000FX72"
"0.00%","外枠なし","0.50000%","JP90C000FX80"
