"インデックス型","type","X1","X2","X4"
"インデックス型","追加型/内外/資産複合","騰落率","6ヶ月","-0.37"
"インデックス型","追加型/内外/資産複合","騰落率","1年","1.57"
"インデックス型","追加型/内外/資産複合","騰落率","3年","19.46"
"インデックス型","追加型/内外/資産複合","騰落率","5年","22.70"
"インデックス型","追加型/内外/資産複合","騰落率","10年","107.19"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","6ヶ月","10.13"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","1年","8.17"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","3年","10.13"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","5年","9.37"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","10年","8.90"
"インデックス型","追加型/内外/資産複合","シャープレシオ","6ヶ月","-0.48"
"インデックス型","追加型/内外/資産複合","シャープレシオ","1年","-0.02"
"インデックス型","追加型/内外/資産複合","シャープレシオ","3年","0.60"
"インデックス型","追加型/内外/資産複合","シャープレシオ","5年","0.45"
"インデックス型","追加型/内外/資産複合","シャープレシオ","10年","0.84"
"インデックス型","追加型/内外/資産複合","騰落率","6ヶ月","-0.37"
"インデックス型","追加型/内外/資産複合","騰落率","1年","1.57"
"インデックス型","追加型/内外/資産複合","騰落率","3年","19.46"
"インデックス型","追加型/内外/資産複合","騰落率","5年","22.70"
"インデックス型","追加型/内外/資産複合","騰落率","10年","107.19"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","6ヶ月","10.13"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","1年","8.17"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","3年","10.13"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","5年","9.37"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","10年","8.90"
"インデックス型","追加型/内外/資産複合","シャープレシオ","6ヶ月","-0.48"
"インデックス型","追加型/内外/資産複合","シャープレシオ","1年","-0.02"
"インデックス型","追加型/内外/資産複合","シャープレシオ","3年","0.60"
"インデックス型","追加型/内外/資産複合","シャープレシオ","5年","0.45"
"インデックス型","追加型/内外/資産複合","シャープレシオ","10年","0.84"
"インデックス型","追加型/内外/資産複合","騰落率","6ヶ月","-0.37"
"インデックス型","追加型/内外/資産複合","騰落率","1年","1.57"
"インデックス型","追加型/内外/資産複合","騰落率","3年","19.46"
"インデックス型","追加型/内外/資産複合","騰落率","5年","22.70"
"インデックス型","追加型/内外/資産複合","騰落率","10年","107.19"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","6ヶ月","10.13"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","1年","8.17"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","3年","10.13"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","5年","9.37"
"インデックス型","追加型/内外/資産複合","リスク（標準偏差）","10年","8.90"
"インデックス型","追加型/内外/資産複合","シャープレシオ","6ヶ月","-0.48"
"インデックス型","追加型/内外/資産複合","シャープレシオ","1年","-0.02"
"インデックス型","追加型/内外/資産複合","シャープレシオ","3年","0.60"
"インデックス型","追加型/内外/資産複合","シャープレシオ","5年","0.45"
"インデックス型","追加型/内外/資産複合","シャープレシオ","10年","0.84"
"インデックス型","追加型/国内/株式","騰落率","6ヶ月","-2.43"
"インデックス型","追加型/国内/株式","騰落率","1年","-1.46"
"インデックス型","追加型/国内/株式","騰落率","3年","33.95"
"インデックス型","追加型/国内/株式","騰落率","5年","37.15"
"インデックス型","追加型/国内/株式","騰落率","10年","251.73"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","6ヶ月","16.83"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","1年","14.92"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","3年","18.22"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","5年","17.55"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","10年","17.37"
"インデックス型","追加型/国内/株式","シャープレシオ","6ヶ月","-0.07"
"インデックス型","追加型/国内/株式","シャープレシオ","1年","0.01"
"インデックス型","追加型/国内/株式","シャープレシオ","3年","0.64"
"インデックス型","追加型/国内/株式","シャープレシオ","5年","0.45"
"インデックス型","追加型/国内/株式","シャープレシオ","10年","0.80"
"インデックス型","追加型/国内/株式","騰落率","6ヶ月","-2.43"
"インデックス型","追加型/国内/株式","騰落率","1年","-1.46"
"インデックス型","追加型/国内/株式","騰落率","3年","33.95"
"インデックス型","追加型/国内/株式","騰落率","5年","37.15"
"インデックス型","追加型/国内/株式","騰落率","10年","251.73"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","6ヶ月","16.83"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","1年","14.92"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","3年","18.22"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","5年","17.55"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","10年","17.37"
"インデックス型","追加型/国内/株式","シャープレシオ","6ヶ月","-0.07"
"インデックス型","追加型/国内/株式","シャープレシオ","1年","0.01"
"インデックス型","追加型/国内/株式","シャープレシオ","3年","0.64"
"インデックス型","追加型/国内/株式","シャープレシオ","5年","0.45"
"インデックス型","追加型/国内/株式","シャープレシオ","10年","0.80"
"該当なし","追加型/国内/株式","騰落率","6ヶ月","-2.43"
"該当なし","追加型/国内/株式","騰落率","1年","-1.46"
"該当なし","追加型/国内/株式","騰落率","3年","33.95"
"該当なし","追加型/国内/株式","騰落率","5年","37.15"
"該当なし","追加型/国内/株式","騰落率","10年","251.73"
"該当なし","追加型/国内/株式","リスク（標準偏差）","6ヶ月","16.83"
"該当なし","追加型/国内/株式","リスク（標準偏差）","1年","14.92"
"該当なし","追加型/国内/株式","リスク（標準偏差）","3年","18.22"
"該当なし","追加型/国内/株式","リスク（標準偏差）","5年","17.55"
"該当なし","追加型/国内/株式","リスク（標準偏差）","10年","17.37"
"該当なし","追加型/国内/株式","シャープレシオ","6ヶ月","-0.07"
"該当なし","追加型/国内/株式","シャープレシオ","1年","0.01"
"該当なし","追加型/国内/株式","シャープレシオ","3年","0.64"
"該当なし","追加型/国内/株式","シャープレシオ","5年","0.45"
"該当なし","追加型/国内/株式","シャープレシオ","10年","0.80"
"該当なし","追加型/内外/資産複合","騰落率","6ヶ月","-0.37"
"該当なし","追加型/内外/資産複合","騰落率","1年","1.57"
"該当なし","追加型/内外/資産複合","騰落率","3年","19.46"
"該当なし","追加型/内外/資産複合","騰落率","5年","22.70"
"該当なし","追加型/内外/資産複合","騰落率","10年","107.19"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","6ヶ月","10.13"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","1年","8.17"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","3年","10.13"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","5年","9.37"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","10年","8.90"
"該当なし","追加型/内外/資産複合","シャープレシオ","6ヶ月","-0.48"
"該当なし","追加型/内外/資産複合","シャープレシオ","1年","-0.02"
"該当なし","追加型/内外/資産複合","シャープレシオ","3年","0.60"
"該当なし","追加型/内外/資産複合","シャープレシオ","5年","0.45"
"該当なし","追加型/内外/資産複合","シャープレシオ","10年","0.84"
"該当なし","追加型/内外/資産複合","騰落率","6ヶ月","-0.37"
"該当なし","追加型/内外/資産複合","騰落率","1年","1.57"
"該当なし","追加型/内外/資産複合","騰落率","3年","19.46"
"該当なし","追加型/内外/資産複合","騰落率","5年","22.70"
"該当なし","追加型/内外/資産複合","騰落率","10年","107.19"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","6ヶ月","10.13"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","1年","8.17"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","3年","10.13"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","5年","9.37"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","10年","8.90"
"該当なし","追加型/内外/資産複合","シャープレシオ","6ヶ月","-0.48"
"該当なし","追加型/内外/資産複合","シャープレシオ","1年","-0.02"
"該当なし","追加型/内外/資産複合","シャープレシオ","3年","0.60"
"該当なし","追加型/内外/資産複合","シャープレシオ","5年","0.45"
"該当なし","追加型/内外/資産複合","シャープレシオ","10年","0.84"
"該当なし","追加型/内外/資産複合","騰落率","6ヶ月","-0.37"
"該当なし","追加型/内外/資産複合","騰落率","1年","1.57"
"該当なし","追加型/内外/資産複合","騰落率","3年","19.46"
"該当なし","追加型/内外/資産複合","騰落率","5年","22.70"
"該当なし","追加型/内外/資産複合","騰落率","10年","107.19"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","6ヶ月","10.13"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","1年","8.17"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","3年","10.13"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","5年","9.37"
"該当なし","追加型/内外/資産複合","リスク（標準偏差）","10年","8.90"
"該当なし","追加型/内外/資産複合","シャープレシオ","6ヶ月","-0.48"
"該当なし","追加型/内外/資産複合","シャープレシオ","1年","-0.02"
"該当なし","追加型/内外/資産複合","シャープレシオ","3年","0.60"
"該当なし","追加型/内外/資産複合","シャープレシオ","5年","0.45"
"該当なし","追加型/内外/資産複合","シャープレシオ","10年","0.84"
"インデックス型","追加型/国内/株式","騰落率","6ヶ月","-2.43"
"インデックス型","追加型/国内/株式","騰落率","1年","-1.46"
"インデックス型","追加型/国内/株式","騰落率","3年","33.95"
"インデックス型","追加型/国内/株式","騰落率","5年","37.15"
"インデックス型","追加型/国内/株式","騰落率","10年","251.73"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","6ヶ月","16.83"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","1年","14.92"
"インデックス型","追加型/国内/株式","リスク（標準偏差）","3年","18.22"
