"code","value","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C00009X9","三井住友・ＤＣ年金バランス３０（債券重点型）","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C00009Y7","三井住友・ＤＣ年金バランス５０（標準型）","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.23000%"
"JP90C00009Z4","三井住友・ＤＣ年金バランス７０（株式重点型）","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.24000%"
"JP90C0000HT6","東京海上セレクション・日本株ＴＯＰＩＸ","追加型/国内/株式","東京海上アセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001QL2","ニッセイＴＯＰＩＸオープン","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠0.5％未満","0.50000%"
"JP90C0001QU3","ニッセイ日本株ファンド","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.80000%"
"JP90C0001QY5","ＤＣニッセイワールドセレクトファンド（債券重視型）","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001QZ2","ＤＣニッセイワールドセレクトファンド（標準型）","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001R05","ＤＣニッセイワールドセレクトファンド（株式重視型）","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001R39","ニッセイ日経２２５インデックスファンド","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.25000%"
"JP90C0001UU5","ハッピーエイジング２０（ハッピーエイジング・ファンド）","追加型/内外/資産複合","ＳＯＭＰＯアセットマネジメント","2.00%以内","外枠なし","1.47000%"
"JP90C0001UV3","ハッピーエイジング３０（ハッピーエイジング・ファンド）","追加型/内外/資産複合","ＳＯＭＰＯアセットマネジメント","2.00%以内","外枠なし","1.35000%"
"JP90C0001UW1","ハッピーエイジング４０（ハッピーエイジング・ファンド）","追加型/内外/資産複合","ＳＯＭＰＯアセットマネジメント","2.00%以内","外枠なし","1.20000%"
"JP90C00021F1","年金積立Ｊグロース","追加型/国内/株式","日興アセットマネジメント","2.00%以内","外枠なし","0.82000%"
"JP90C0002AA7","朝日ライフ日経平均ファンド","追加型/国内/株式","朝日ライフアセットマネジメント","2.00%以内","外枠なし","0.50000%"
"JP90C0002MF1","大和住銀ＤＣ国内株式ファンド","追加型/国内/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.95000%"
"JP90C00035D6","フィデリティ・欧州株・ファンド","追加型/海外/株式","フィデリティ投信","3.00%以内","外枠なし","1.50000%"
"JP90C00035E4","フィデリティ・米国優良株・ファンド","追加型/海外/株式","フィデリティ投信","3.00%以内","外枠なし","1.49000%"
"JP90C0003RR3","ダイワ・ライフ・バランス３０","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.18000%"
"JP90C0003RS1","ダイワ・ライフ・バランス５０","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C0003RT9","ダイワ・ライフ・バランス７０","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C0004GZ7","セゾン・バンガード・グローバルバランスファンド","追加型/内外/資産複合","セゾン投信","0.00%","外枠0.5％未満","0.45000%"
"JP90C0004H04","セゾン資産形成の達人ファンド","追加型/内外/資産複合","セゾン投信","0.00%","外枠0.5％未満","0.52000%"
"JP90C00055W4","ＳＭＴ　ＴＯＰＩＸインデックス・オープン","追加型/国内/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠0.5％未満","0.37000%"
"JP90C00055X2","ＳＭＴグローバル株式インデックス・オープン","追加型/海外/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠0.5％未満","0.50000%"
"JP90C0005FR3","三井住友・ＤＣターゲットイヤーファンド２０４０（４資産タイプ）","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.42000%"
"JP90C0005FS1","三井住友・ＤＣターゲットイヤーファンド２０４５（４資産タイプ）","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.42000%"
"JP90C0005Z76","ＳＭＴ新興国株式インデックス・オープン","追加型/海外/株式","三井住友トラスト・アセットマネジメント","3.00%以内","外枠0.5％未満","0.60000%"
"JP90C0006026","世界経済インデックスファンド","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","3.00%以内","外枠0.5％未満","0.50000%"
"JP90C0006083","コモンズ３０ファンド","追加型/内外/株式","コモンズ投信","-","外枠なし","0.98000%"
"JP90C0006K23","外国株式指数ファンド","追加型/海外/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠0.5％未満","0.50000%"
"JP90C0006LC1","ｅＭＡＸＩＳ日経２２５インデックス","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.40000%"
"JP90C0006LD9","ｅＭＡＸＩＳ　ＴＯＰＩＸインデックス","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.40000%"
"JP90C0006LG2","ｅＭＡＸＩＳ先進国株式インデックス","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.60000%"
"JP90C0006LK4","ｅＭＡＸＩＳ新興国株式インデックス","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.60000%"
"JP90C0006Y84","のむラップ・ファンド（積極型）","追加型/内外/資産複合","野村アセットマネジメント","1.00%以内","外枠0.5％未満","1.38000%"
"JP90C0006ZN8","東京海上セレクション・外国株式インデックス","追加型/海外/株式","東京海上アセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C00074C7","ｅＭＡＸＩＳ全世界株式インデックス","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.60000%"
"JP90C00074E3","ＳＭＴ日経２２５インデックス・オープン","追加型/国内/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠なし","0.37000%"
"JP90C0007DM5","野村インデックスファンド・ＴＯＰＩＸ","追加型/国内/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.40000%"
"JP90C0007DN3","野村インデックスファンド・日経２２５","追加型/国内/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.40000%"
"JP90C0007DP8","野村インデックスファンド・外国株式","追加型/海外/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.55000%"
"JP90C0007DQ6","野村インデックスファンド・新興国株式","追加型/海外/株式","野村アセットマネジメント","1.00%以内","外枠0.5％未満","0.60000%"
"JP90C0007LN6","三井住友・ＤＣつみたてＮＩＳＡ・全海外株インデックスファンド","追加型/海外/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.25000%"
"JP90C0007LP1","三井住友・ＤＣ新興国株式インデックスファンド","追加型/海外/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.34000%"
"JP90C0008022","ｅＭＡＸＩＳバランス（８資産均等型）","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C00081U4","三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド","追加型/国内/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.16000%"
"JP90C0008CH5","ひふみプラス","追加型/内外/株式","レオス・キャピタルワークス","3.00%以内","外枠なし","0.98000%"
"JP90C00091E7","ＥＸＥ－ｉグローバル中小型株式ファンド","追加型/内外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.23000%"
"JP90C00095F5","野村インデックスファンド・外国株式・為替ヘッジ型","追加型/海外/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.55000%"
"JP90C0009ER8","ｅＭＡＸＩＳ　ＮＹダウインデックス","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.60000%"
"JP90C0009L03","野村インデックスファンド・海外５資産バランス","追加型/海外/資産複合","野村アセットマネジメント","2.00%以内","外枠0.5％未満","0.60000%"
"JP90C0009L37","野村インデックスファンド・内外７資産バランス・為替ヘッジ型","追加型/内外/資産複合","野村アセットマネジメント","2.00%以内","外枠0.5％未満","0.50000%"
"JP90C0009VE0","＜購入・換金手数料なし＞ニッセイ外国株式インデックスファンド","追加型/海外/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.09300%"
"JP90C000A0B8","ＳＭＴ　ＪＰＸ日経インデックス４００・オープン","追加型/国内/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠なし","0.37000%"
"JP90C000A808","野村インデックスファンド・ＪＰＸ日経４００","追加型/国内/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.40000%"
"JP90C000A9Q7","ｅＭＡＸＩＳ　ＪＰＸ日経４００インデックス","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.40000%"
