"code","fund","fundcode","インデックス型","設定日","償還日","償還までの期間","決算頻度","決算日","目論見書/運用報告書","解約手数料","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C00009X9","三井住友・ＤＣ年金バランス３０（債券重点型）","79312059","インデックス型","2005/09/30","無期限","無期限","年1回","02/18","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C00009Y7","三井住友・ＤＣ年金バランス５０（標準型）","79313059","インデックス型","2005/09/30","無期限","無期限","年1回","02/18","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.23000%"
"JP90C00009Z4","三井住友・ＤＣ年金バランス７０（株式重点型）","79314059","インデックス型","2005/09/30","無期限","無期限","年1回","02/18","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.24000%"
"JP90C0000HT6","東京海上セレクション・日本株ＴＯＰＩＸ","49314019","インデックス型","2001/09/25","無期限","無期限","年1回","06/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","東京海上アセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001QL2","ニッセイＴＯＰＩＸオープン","29311014","インデックス型","2001/04/27","無期限","無期限","年1回","02/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠0.5％未満","0.50000%"
"JP90C0001QU3","ニッセイ日本株ファンド","2931101C","該当なし","2001/12/26","無期限","無期限","年1回","05/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.80000%"
"JP90C0001QY5","ＤＣニッセイワールドセレクトファンド（債券重視型）","29311031","該当なし","2003/01/10","無期限","無期限","年1回","02/21","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001QZ2","ＤＣニッセイワールドセレクトファンド（標準型）","29312031","該当なし","2003/01/10","無期限","無期限","年1回","02/21","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001R05","ＤＣニッセイワールドセレクトファンド（株式重視型）","29313031","該当なし","2003/01/10","無期限","無期限","年1回","02/21","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C0001R39","ニッセイ日経２２５インデックスファンド","29311041","インデックス型","2004/01/28","無期限","無期限","年1回","02/15","目論見書 運用報告書","外枠なし","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.25000%"
"JP90C0001UU5","ハッピーエイジング２０（ハッピーエイジング・ファンド）","45314007","該当なし","2000/07/31","無期限","無期限","年1回","07/15","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ＳＯＭＰＯアセットマネジメント","2.00%以内","外枠なし","1.47000%"
"JP90C0001UV3","ハッピーエイジング３０（ハッピーエイジング・ファンド）","45315007","該当なし","2000/07/31","無期限","無期限","年1回","07/15","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ＳＯＭＰＯアセットマネジメント","2.00%以内","外枠なし","1.35000%"
"JP90C0001UW1","ハッピーエイジング４０（ハッピーエイジング・ファンド）","45316007","該当なし","2000/07/31","無期限","無期限","年1回","07/15","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ＳＯＭＰＯアセットマネジメント","2.00%以内","外枠なし","1.20000%"
"JP90C00021F1","年金積立Ｊグロース","0231Q01A","該当なし","2001/10/31","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/国内/株式","日興アセットマネジメント","2.00%以内","外枠なし","0.82000%"
"JP90C0002AA7","朝日ライフ日経平均ファンド","6831100B","インデックス型","2000/11/30","無期限","無期限","年1回","11/15","目論見書 運用報告書","外枠なし","追加型/国内/株式","朝日ライフアセットマネジメント","2.00%以内","外枠なし","0.50000%"
"JP90C0002MF1","大和住銀ＤＣ国内株式ファンド","7931306A","該当なし","2006/10/23","無期限","無期限","年1回","01/27","目論見書 運用報告書","外枠なし","追加型/国内/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.95000%"
"JP90C00035D6","フィデリティ・欧州株・ファンド","32313984","該当なし","1998/04/01","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/海外/株式","フィデリティ投信","3.00%以内","外枠なし","1.50000%"
"JP90C00035E4","フィデリティ・米国優良株・ファンド","32314984","該当なし","1998/04/01","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/海外/株式","フィデリティ投信","3.00%以内","外枠なし","1.49000%"
"JP90C0003RR3","ダイワ・ライフ・バランス３０","04313056","インデックス型","2005/06/06","無期限","無期限","年1回","06/05","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.18000%"
"JP90C0003RS1","ダイワ・ライフ・バランス５０","04314056","インデックス型","2005/06/06","無期限","無期限","年1回","06/05","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C0003RT9","ダイワ・ライフ・バランス７０","04315056","インデックス型","2005/06/06","無期限","無期限","年1回","06/05","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C0004GZ7","セゾン・バンガード・グローバルバランスファンド","96311073","該当なし","2007/03/15","無期限","無期限","年1回","12/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","セゾン投信","0.00%","外枠0.5％未満","0.45000%"
"JP90C0004H04","セゾン資産形成の達人ファンド","96312073","該当なし","2007/03/15","無期限","無期限","年1回","12/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","セゾン投信","0.00%","外枠0.5％未満","0.52000%"
"JP90C00055W4","ＳＭＴ　ＴＯＰＩＸインデックス・オープン","64313081","インデックス型","2008/01/09","無期限","無期限","年2回","05/10, 11/10","目論見書 運用報告書","外枠なし","追加型/国内/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠0.5％未満","0.37000%"
"JP90C00055X2","ＳＭＴグローバル株式インデックス・オープン","64314081","インデックス型","2008/01/09","無期限","無期限","年2回","05/10, 11/10","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠0.5％未満","0.50000%"
"JP90C0005FR3","三井住友・ＤＣターゲットイヤーファンド２０４０（４資産タイプ）","79318083","該当なし","2008/03/31","無期限","無期限","年1回","04/13","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.42000%"
