"code","fundcode","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C00009X9","79312059","6ヶ月",-0.86,5.37,-0.3
"JP90C00009X9","79312059","1年",0.66,3.91,0.19
"JP90C00009X9","79312059","3年",12.34,4.64,0.87
"JP90C00009X9","79312059","5年",16.12,4.49,0.7
"JP90C00009X9","79312059","10年",69.52,4.79,1.13
"JP90C00009Y7","79313059","6ヶ月",-0.34,8.11,-0.05
"JP90C00009Y7","79313059","1年",1.92,6.02,0.35
"JP90C00009Y7","79313059","3年",21.86,7.47,0.92
"JP90C00009Y7","79313059","5年",26.25,7.36,0.68
"JP90C00009Y7","79313059","10年",115.98,7.84,1.02
"JP90C00009Z4","79314059","6ヶ月",0.26,10.89,0.09
"JP90C00009Z4","79314059","1年",3.22,8.2,0.43
"JP90C00009Z4","79314059","3年",31.53,10.49,0.93
"JP90C00009Z4","79314059","5年",36.37,10.37,0.66
"JP90C00009Z4","79314059","10年",172.41,10.97,0.97
"JP90C0000HT6","49314019","6ヶ月",0.9,11.83,0.2
"JP90C0000HT6","49314019","1年",1.89,10.89,0.22
"JP90C0000HT6","49314019","3年",34.57,14.92,0.74
"JP90C0000HT6","49314019","5年",34,14.68,0.48
"JP90C0000HT6","49314019","10年",213.75,15.7,0.81
"JP90C0001QL2","29311014","6ヶ月",0.35,12.04,0.11
"JP90C0001QL2","29311014","1年",1.29,10.98,0.17
"JP90C0001QL2","29311014","3年",33.68,14.98,0.72
"JP90C0001QL2","29311014","5年",33.45,14.72,0.47
"JP90C0001QL2","29311014","10年",215.16,15.73,0.81
"JP90C0001QU3","2931101C","6ヶ月",2.06,12.4,0.38
"JP90C0001QU3","2931101C","1年",3.08,11.21,0.32
"JP90C0001QU3","2931101C","3年",32.76,15.14,0.7
"JP90C0001QU3","2931101C","5年",25.34,14.85,0.38
"JP90C0001QU3","2931101C","10年",185.49,15.98,0.74
"JP90C0001QY5","29311031","6ヶ月",-0.65,5.9,-0.19
"JP90C0001QY5","29311031","1年",0.96,4.3,0.25
"JP90C0001QY5","29311031","3年",14.49,4.71,0.99
"JP90C0001QY5","29311031","5年",18.12,4.67,0.75
"JP90C0001QY5","29311031","10年",76.63,5.39,1.11
"JP90C0001QZ2","29312031","6ヶ月",-0.09,8.88,0.02
"JP90C0001QZ2","29312031","1年",2.67,6.48,0.44
"JP90C0001QZ2","29312031","3年",24.74,7.7,1
"JP90C0001QZ2","29312031","5年",29.59,7.6,0.73
"JP90C0001QZ2","29312031","10年",124.04,8.23,1.05
