"日付","始値","高値","安値","終値","前月比","月次収益率","売買高"
"2022-05-31",2267,2282.5,1971,2122.5,-113,-5.1,545952200
"2022-04-28",2222.5,2269,2065.5,2235.5,13,0.6,527209900
"2022-03-31",2119.5,2262,1805,2222.5,84,3.9,808023700
"2022-02-28",2261,2375.5,2078.5,2138.5,-107,-4.8,477052100
"2022-01-31",2158,2475,2154.5,2245.5,140,6.6,668062900
"2021-12-30",2007.5,2165,2002,2105.5,104.5,5.2,482973600
"2021-11-30",2028,2188,1995,2001,-5.5,-0.3,444785600
"2021-10-29",1980,2062,1818,2006.5,6.5,0.3,412365500
"2021-09-30",1940.2,2092,1918.4,2000,81.6,4.3,597068400
"2021-08-31",1977.4,2029,1772.8,1918.4,-42.6,-2.2,634271500
"2021-07-30",1945.6,2002,1894.4,1961,19,1,452708000
"2021-06-30",1826,2066,1826,1942,119,6.5,734296000
"2021-05-31",1670,1845.4,1636.8,1823,197.6,12.2,611082000
"2021-04-30",1738.8,1739,1622,1625.4,-97.8,-5.7,513436000
"2021-03-31",1582.2,1742.4,1557.2,1723.2,148.6,9.4,813757500
"2021-02-26",1455.6,1699.4,1443.2,1574.6,114.6,7.8,645335500
"2021-01-29",1606,1606,1459.6,1460,-131.4,-8.3,588137500
"2020-12-30",1422.2,1609,1396,1591.4,191.6,13.7,614474000
"2020-11-30",1373.2,1504.8,1370,1399.8,39.2,2.9,629735000
"2020-10-30",1384,1415.6,1356,1360.6,-25.8,-1.9,392062500
"2020-09-30",1398,1435.8,1367.6,1386.4,-14.8,-1.1,462462000
"2020-08-31",1261.8,1476,1251,1401.2,157.8,12.7,501836000
"2020-07-31",1352,1374,1243.4,1243.4,-109,-8.1,493403500
"2020-06-30",1357,1434.8,1337,1352.4,1.4,0.1,598903500
"2020-05-29",1320.6,1396,1241.6,1351,17.8,1.3,622689500
"2020-04-30",1286,1375,1232.6,1333.2,33,2.5,680941500
"2020-03-31",1388.2,1469.6,1154.2,1300.2,-125.2,-8.8,1215537000
"2020-02-28",1511.4,1605.2,1400.8,1425.4,-105,-6.9,522169000
"2020-01-31",1519.8,1578.8,1506,1530.4,-12.4,-0.8,428432500
"2019-12-30",1540.2,1570.8,1525.2,1542.8,15.2,1,387589000
"2019-11-29",1492,1589.8,1491.6,1527.6,19.2,1.3,449681500
"2019-10-31",1449,1510.8,1390.2,1508.4,65.2,4.5,452198500
"2019-09-30",1393.4,1498.8,1386.6,1443.2,51.2,3.7,545344000
"2019-08-30",1403.6,1424,1324,1392,-12.8,-0.9,529756000
"2019-07-31",1353,1448.8,1345.4,1404.8,67.2,5,520886500
"2019-06-28",1261.8,1371.6,1254.8,1337.6,60.8,4.8,470173500
"2019-05-31",1371,1380,1276.6,1276.8,-104.2,-7.5,490762000
"2019-04-26",1314.2,1416,1311.4,1381,83.6,6.4,406446500
"2019-03-29",1347,1352.2,1297.4,1297.4,-42,-3.1,495195500
