"日付","始値","高値","安値","終値","前月比","前月比％","売買高(株)","code"
"22/05/31","520","526.8","473.2","500.6","-16.4","-3.2","387,910,400",7201
"22/04/28","538.1","557.1","492.5","517","-30.8","-5.6","335,039,800",7201
"22/03/31","551.1","563.1","436.5","547.8","2.5","0.5","520,654,900",7201
"22/02/28","610.5","643","537.1","545.3","-62.1","-10.2","350,498,500",7201
"22/01/31","569","650","566.6","607.4","51.6","9.3","354,492,200",7201
"21/12/30","565.5","573.9","532","555.8","-7.1","-1.3","328,137,600",7201
"21/11/30","585.1","654.3","562.9","562.9","-14.5","-2.5","397,291,400",7201
"21/10/29","552.1","611.9","516.5","577.4","15.3","2.7","330,313,300",7201
"21/09/30","583.8","588.7","541.3","562.1","-16.4","-2.8","269,864,100",7201
"21/08/31","634.5","638","521.6","578.5","-52.4","-8.3","273,801,600",7201
"21/07/30","556.1","650","543.6","630.9","79.6","14.4","358,207,800",7201
"21/06/30","542.8","571.4","517.5","551.3","12.2","2.3","239,412,400",7201
"21/05/31","558.7","583.2","501","539.1","-8.6","-1.6","302,895,800",7201
"21/04/30","620","621.5","535.4","547.7","-68.2","-11.1","309,667,400",7201
"21/03/31","580.5","629.9","573.4","615.9","41.2","7.2","402,283,200",7201
"21/02/26","530.7","664.5","530.1","574.7","42.6","8","441,972,200",7201
"21/01/29","569","573.8","518.4","532.1","-27.9","-5","376,635,400",7201
"20/12/30","492.1","587.4","492","560","67.5","13.7","509,388,300",7201
"20/11/30","371.3","547.6","370.2","492.5","126.5","34.6","613,585,900",7201
"20/10/30","374","395.7","364.2","366","-5.8","-1.6","286,877,500",7201
"20/09/30","430","434.7","359.7","371.8","-59.7","-13.8","358,563,300",7201
"20/08/31","369","444.4","367","431.5","70.5","19.5","359,322,100",7201
"20/07/31","398.6","452.2","361","361","-38.2","-9.6","565,744,900",7201
"20/06/30","405.1","491","392.1","399.2","-1.7","-0.4","628,861,900",7201
"20/05/29","364.3","457.7","331.3","400.9","31.1","8.4","426,415,500",7201
"20/04/30","357.9","386.4","311.2","369.8","13.2","3.7","448,277,200",7201
"20/03/31","453.9","470.8","356.2","356.6","-107","-23.1","628,740,800",7201
"20/02/28","589.9","607.6","453","463.6","-135.9","-22.7","333,292,800",7201
"20/01/31","630.7","646.2","589","599.5","-36.6","-5.8","221,800,100",7201
"19/12/30","681.4","689.5","633.0","636.1","-42.7","-6.3","230,786,200",7201
"19/11/29","688.4","714.8","657.6","678.8","-10.6","-1.5","309,494,600",7201
"19/10/31","683.4","699.6","647.0","689.4","15.3","2.3","241,292,400",7201
"19/09/30","654.4","721.7","642.0","674.1","17.7","2.7","269,430,300",7201
"19/08/30","702.9","713.4","635.1","656.4","-54.4","-7.7","292,999,200",7201
"19/07/31","776.8","789.6","710.8","710.8","-60.8","-7.9","233,123,000",7201
"19/06/28","723.3","779.5","722.0","771.6","37","5","222,749,800",7201
"19/05/31","890.0","890.6","728.0","734.6","-158.7","-17.8","376,045,400",7201
"19/04/26","916.0","966.0","876.0","893.3","-14.9","-1.6","256,758,600",7201
"19/03/29","962.0","969.0","907.3","908.2","-54.2","-5.6","275,123,700",7201
"19/02/28","924.6","969.6","913.3","962.4","35.6","3.8","186,336,200",7201
"19/01/31","856.1","936.6","854.3","926.8","46.5","5.3","214,115,300",7201
"18/12/28","1,004.0","1,008.5","835.5","880.3","-114","-11.5","341,388,000",7201
"18/11/30","1,026.0","1,034.5","940.0","994.3","-33.2","-3.2","483,625,100",7201
"18/10/31","1,063.5","1,063.5","974.6","1,027.5","-36","-3.4","304,243,300",7201
"18/09/28","1,041.0","1,108.5","1,019.0","1,063.5","23.5","2.3","270,645,100",7201
"18/08/31","1,063.0","1,065.0","1,024.0","1,040.0","-15.5","-1.5","233,298,700",7201
"18/07/31","1,067.5","1,071.0","999.5","1,055.5","-22.5","-2.1","300,125,000",7201
"18/06/29","1,077.5","1,109.5","1,060.5","1,078.0","-2.5","-0.2","212,218,500",7201
"18/05/31","1,151.0","1,151.5","1,080.5","1,080.5","-71","-6.2","259,517,400",7201
"18/04/27","1,100.0","1,157.5","1,091.0","1,151.5","47.5","4.3","238,435,600",7201
"18/03/30","1,120.0","1,131.5","1,073.5","1,104.0","-21","-1.9","389,532,000",7201
"18/02/28","1,172.0","1,178.0","1,103.5","1,125.0","-38.5","-3.3","369,924,100",7201
"18/01/31","1,130.0","1,197.0","1,128.0","1,163.5","40","3.6","297,245,400",7201
"17/12/29","1,092.0","1,130.0","1,076.5","1,123.5","35.5","3.3","233,542,900",7201
"17/11/30","1,107.0","1,121.5","1,060.5","1,088.0","-10.5","-1","360,950,200",7201
"17/10/31","1,054.5","1,114.5","1,054.5","1,098.5","-16","-1.4","483,292,200",7201
"17/09/29","1,096.5","1,167.5","1,079.0","1,114.5","21.5","2","374,013,900",7201
"17/08/31","1,096.0","1,111.0","1,075.0","1,093.0","-3","-0.3","250,324,000",7201
"17/07/31","1,114.0","1,157.5","1,096.0","1,096.0","-22","-2","273,971,300",7201
"17/06/30","1,061.5","1,118.5","1,058.5","1,118.0","56.5","5.3","238,780,000",7201
"17/05/31","1,059.5","1,114.0","1,055.0","1,061.5","3","0.3","236,062,800",7201
"17/04/28","1,071.0","1,076.5","996.2","1,058.5","-15","-1.4","283,834,100",7201
"17/03/31","1,115.0","1,162.5","1,073.5","1,073.5","-32.5","-2.9","321,867,300",7201
"17/02/28","1,108.0","1,139.0","1,095.0","1,106.0","-13","-1.2","213,544,900",7201
"17/01/31","1,191.0","1,207.5","1,115.0","1,119.0","-56.5","-4.8","210,755,000",7201
"16/12/30","1,090.0","1,220.0","1,058.0","1,175.5","119","11.3","296,462,500",7201
"16/11/30","1,069.5","1,104.5","957.2","1,056.5","-12","-1.1","380,286,800",7201
"16/10/31","986.1","1,069.0","980.5","1,068.5","85.8","8.7","297,891,800",7201
"16/09/30","1,028.0","1,058.0","976.0","982.7","-32.3","-3.2","268,602,100",7201
"16/08/31","986.1","1,023.5","944.0","1,015.0","3","0.3","358,434,600",7201
"16/07/29","924.3","1,068.5","904.4","1,012.0","94.1","10.3","318,281,000",7201
"16/06/30","1,120.0","1,128.0","893.1","917.9","-207.1","-18.4","295,808,200",7201
"16/05/31","949.3","1,125.0","943.0","1,125.0","125","12.5","295,900,900",7201
"16/04/28","1,036.5","1,079.5","922.0","1,000.0","-41.5","-4","355,799,100",7201
"16/03/31","1,020.0","1,125.0","993.5","1,041.5","17","1.7","346,895,000",7201
"16/02/29","1,210.0","1,214.5","923.3","1,024.5","-155.5","-13.2","364,836,500",7201
"16/01/29","1,268.5","1,272.0","1,035.0","1,180.0","-99.5","-7.8","263,530,300",7201
"15/12/30","1,300.0","1,304.5","1,214.5","1,279.5","-35","-2.7","243,250,600",7201
"15/11/30","1,206.5","1,321.5","1,206.0","1,314.5","48","3.8","215,518,100",7201
"15/10/30","1,107.0","1,274.0","1,101.0","1,266.5","172.5","15.8","252,015,300",7201
"15/09/30","1,091.0","1,180.0","1,025.5","1,094.0","-3","-0.3","287,535,000",7201
"15/08/31","1,189.5","1,217.0","999.1","1,097.0","-101.5","-8.5","284,418,000",7201
"15/07/31","1,279.0","1,331.0","1,127.0","1,198.5","-76.5","-6","310,972,600",7201
"15/06/30","1,293.0","1,350.0","1,217.0","1,275.0","-25.5","-2","231,724,800",7201
"15/05/29","1,229.0","1,312.0","1,198.5","1,300.5","49.5","4","179,454,900",7201
"15/04/30","1,211.0","1,311.5","1,191.5","1,251.0","27","2.2","208,888,800",7201
"15/03/31","1,269.0","1,303.5","1,207.0","1,224.0","-40","-3.2","226,993,000",7201
"15/02/27","1,002.5","1,275.0","996.0","1,264.0","247.5","24.3","271,027,500",7201
"15/01/30","1,056.0","1,057.5","963.1","1,016.5","-40.5","-3.8","232,210,300",7201
"14/12/30","1,108.0","1,146.5","1,003.0","1,057.0","-51.5","-4.6","257,242,000",7201
"14/11/28","1,080.0","1,125.5","1,019.0","1,108.5","110.6","11.1","248,698,700",7201
